"billing_period","currency","total","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01","2023-03-01","2023-04-01","2023-05-01","2023-06-01","2023-07-01","2023-08-01","2023-09-01","2023-10-01","2023-11-01","2023-12-01","2024-01-01","2024-02-01","2024-03-01","2024-04-01","2024-05-01","2024-06-01","2024-07-01","remaining"
"2022-07-01","usd","750.00","750.00",,,,,,,,,,,,,,,,,,,,,,,,,"0.00"
"2022-08-01","usd","750.00",,"750.00",,,,,,,,,,,,,,,,,,,,,,,,"0.00"
"2022-09-01","usd","1835.00",,,"1835.00",,,,,,,,,,,,,,,,,,,,,,,"0.00"
"2022-10-01","usd","8250.00",,,,"8250.00",,,,,,,,,,,,,,,,,,,,,,"0.00"
"2022-11-01","usd","2500.00",,,,,"2500.00",,,,,,,,,,,,,,,,,,,,,"0.00"
"2022-12-01","usd","7250.00",,,,,,"7250.00",,,,,,,,,,,,,,,,,,,,"0.00"
"2023-01-01","usd","21799.00",,,,,,,"21475.83","323.17",,,,,,,,,,,,,,,,,,"0.00"
"2023-02-01","usd","399.00",,,,,,,,"41.21","357.79",,,,,,,,,,,,,,,,,"0.00"
"2023-03-01","usd","22697.00",,,,,,,,,"22373.83","323.17",,,,,,,,,,,,,,,,"0.00"
"2023-04-01","usd","10447.00",,,,,,,,,,"10113.06","333.94",,,,,,,,,,,,,,,"0.00"
"2023-05-01","usd","19023.00",,,,,,,,,,,"19023.00",,,,,,,,,,,,,,,"0.00"
"2023-06-01","usd","9211.00",,,,,,,,,,,,"9211.00",,,,,,,,,,,,,,"0.00"
